time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-23T21:33:02.630Z,18.9236,-64.2951,17,4.1,ml,23,210,1.5006,0.44,pr,pr2019235008,2019-11-08T22:13:45.040Z,"50km NE of Road Town, British Virgin Islands",earthquake,3.05,5.22,0.37,16,reviewed,pr,pr
2019-08-09T14:21:41.910Z,19.1976,-64.9021,33,4.05,md,18,328,1.4179,0.31,pr,pr2019221004,2019-10-29T20:33:49.040Z,"88km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.27,19.77,0.13,11,reviewed,pr,pr
2019-08-05T00:34:12.196Z,19.5604,-74.2173,10,4.3,mb,,41,0.917,0.88,us,us600050nu,2019-10-19T21:42:11.040Z,"91km SSE of Baracoa, Cuba",earthquake,5.2,1.9,0.048,122,reviewed,us,us
2019-08-04T19:23:45.504Z,17.4364,-83.5781,10,4.1,mb,,100,3.374,1.19,us,us600050lg,2019-10-19T21:42:10.040Z,"37km E of Great Swan Island, Honduras",earthquake,8.7,2,0.114,21,reviewed,us,us
2019-07-28T21:41:43.640Z,18.497,-64.995,13,4.22,ml,27,195,0.9246,0.72,pr,pr2019209009,2019-10-11T20:12:47.040Z,"10km NW of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.43,3.31,0.41,20,reviewed,pr,pr
2019-07-28T16:02:11.300Z,18.5533,-68.9601,144,4.7,mb,27,169,0.771,0.47,pr,pr2019209005,2019-10-11T20:12:45.040Z,"7km N of La Romana, Dominican Republic",earthquake,3.45,2.34,0.6,24,reviewed,pr,pr
2019-06-30T06:37:54.020Z,18.436,-68.8531,113,4.5,ml,22,168,0.9172,0.77,pr,pr2019181008,2019-09-14T16:08:21.040Z,"15km ENE of La Romana, Dominican Republic",earthquake,4.11,3.37,0.33,19,reviewed,pr,pr
2019-06-30T01:50:42.470Z,19.2611,-65.0546,6,4,md,23,218,1.3722,0.4,pr,pr2019181002,2019-09-14T16:08:21.040Z,"98km N of Culebra, Puerto Rico",earthquake,2.79,2.09,0.22,16,reviewed,pr,pr
2019-06-21T12:22:01.770Z,19.5591,-66.1913,14,4,ml,23,216,1.1335,0.39,pr,pr2019172004,2019-09-11T15:19:25.040Z,"106km N of Brenas, Puerto Rico",earthquake,1.64,4.2,0.24,12,reviewed,pr,pr
2019-06-10T06:48:59.080Z,19.5148,-68.1018,3,4.3,ml,22,223,1.1095,0.41,pr,pr2019161001,2019-08-27T17:48:04.040Z,"91km NNE of Punta Cana, Dominican Republic",earthquake,3.61,2.24,0.4,22,reviewed,pr,pr
2019-06-01T10:33:35.600Z,19.373,-64.6591,34,4,md,16,315,1.7119,0.27,pr,pr2019152005,2019-08-24T21:17:43.040Z,"89km NNW of Road Town, British Virgin Islands",earthquake,1.94,19.23,0.18,15,reviewed,pr,pr
2019-05-31T01:27:04.520Z,19.3741,-64.6501,39,4.13,md,24,221,1.7189,0.6,pr,pr2019151000,2019-08-24T21:17:38.040Z,"63km NNW of Road Town, British Virgin Islands",earthquake,4.34,33.23,0.41,17,reviewed,pr,pr
2019-05-26T03:51:28.253Z,19.5002,-70.36,10,4.3,mb,,125,0.354,1.37,us,us60003sac,2019-08-13T14:30:38.040Z,"9km SSW of Veragua Arriba, Dominican Republic",earthquake,4.2,1.9,0.122,19,reviewed,us,us
2019-05-02T12:40:13.869Z,18.0506,-69.2848,11.29,4.4,mb,,69,0.727,0.87,us,us70003fnt,2019-07-25T18:54:08.040Z,"45km S of San Pedro de Macoris, Dominican Republic",earthquake,2.4,4.8,0.075,52,reviewed,us,us
2019-05-02T01:10:26.800Z,17.9946,-65.8256,13,4.1,ml,23,272,0.1493,0.09,pr,pr2019122000,2019-07-25T18:54:05.040Z,"10km SE of El Negro, Puerto Rico",earthquake,0.65,0.28,0.36,23,reviewed,pr,pr
2019-04-30T08:06:51.718Z,23.6401,-63.0768,10,4.6,mb,,127,5.562,0.85,us,us70003ehc,2019-07-25T18:54:01.040Z,"North Atlantic Ocean",earthquake,7.9,1.9,0.03,324,reviewed,us,us
2019-04-16T10:29:05.547Z,19.3047,-62.0756,10,4.3,mb,,155,1.566,0.58,us,us7000370c,2019-06-26T20:54:42.040Z,"157km NE of Stoney Ground, Anguilla",earthquake,8.7,2,0.188,8,reviewed,us,us
2019-04-08T23:30:45.293Z,18.806,-69.7558,77.85,4.3,mb,,63,0.355,0.85,us,us2000kcmq,2019-06-18T15:50:57.040Z,"2km E of Monte Plata, Dominican Republic",earthquake,5.3,5.2,0.119,20,reviewed,us,us
2019-03-12T13:08:57.170Z,17.93,-66.1798,13,4.6,ml,21,210,0.0811,0.47,pr,pr2019071006,2019-09-05T10:04:06.979Z,"14km SSW of Jobos, Puerto Rico",earthquake,2.13,1.31,0.28,15,reviewed,pr,pr
2019-03-02T12:55:01.990Z,18.2412,-81.6795,10,4.2,mb,,114,3.939,0.77,us,us1000j9vj,2019-05-14T18:36:17.040Z,"120km SSW of George Town, Cayman Islands",earthquake,8.3,2,0.136,15,reviewed,us,us
2019-02-23T19:58:33.460Z,16.9186,-60.5372,25.72,4.1,mwr,,52,0.787,0.64,us,us2000jm4y,2019-05-11T17:40:47.040Z,"88km NE of Grande Anse, Guadeloupe",earthquake,5.6,5.6,0.053,34,reviewed,us,us
2019-02-23T19:21:07.770Z,19.2595,-67.8005,77,4.1,ml,23,207,0.9322,0.61,pr,pr2019054008,2019-05-11T17:40:25.040Z,"100km NE of Punta Cana, Dominican Republic",earthquake,4.7,8.42,0.34,20,reviewed,pr,pr
2019-02-18T23:38:06.820Z,19.4898,-64.8938,87,4.8,md,23,232,1.6517,0.5,pr,pr2019049011,2019-05-01T22:01:03.040Z,"117km NNW of Road Town, British Virgin Islands",earthquake,4.77,10.44,0.3,17,reviewed,pr,pr
2019-02-05T04:07:27.180Z,19.5725,-68.0613,33,4.38,md,21,223,1.1059,0.75,pr,pr2019036001,2019-04-25T15:31:40.040Z,"88km NNE of Punta Cana, Dominican Republic",earthquake,4.73,44.94,0.36,21,reviewed,pr,pr
2019-02-04T14:33:48.810Z,18.1358,-68.5523,74,5.3,ml,22,189,0.4149,0.8,pr,pr2019035005,2019-05-02T12:46:58.572Z,"32km SSE of Boca de Yuma, Dominican Republic",earthquake,7.21,6.13,0.42,14,reviewed,pr,pr
2019-01-30T16:42:24.370Z,19.498,-68.0658,12,4.25,md,20,220,1.0335,0.62,pr,pr2019030017,2019-04-18T19:09:12.040Z,"86km NNE of Punta Cana, Dominican Republic",earthquake,4.62,5.55,0.13,12,reviewed,pr,pr
2019-01-16T00:39:33.510Z,19.4966,-68.2711,84,4.5,md,20,211,0.9888,0.39,pr,pr2019016000,2019-04-05T21:40:56.040Z,"89km ENE of Miches, Dominican Republic",earthquake,3.38,7.01,0.19,15,reviewed,pr,pr
2019-01-04T22:52:47.350Z,16.8489,-61.0629,31.59,4.4,mwr,,90,0.533,0.76,us,us2000j0eh,2019-03-08T17:50:15.040Z,"60km N of Grande Anse, Guadeloupe",earthquake,4.1,5.3,0.056,31,reviewed,us,us
2018-12-25T03:46:15.080Z,19.3396,-67.7088,67,4.6,ml,24,238,0.9824,0.65,pr,pr2018359002,2019-03-05T17:46:33.040Z,"96km NW of San Antonio, Puerto Rico",earthquake,4.62,9.84,0.35,19,reviewed,pr,pr
2018-12-22T14:12:17.530Z,18.6142,-69.046,126.07,4.6,mb,,82,0.638,1.11,us,us2000iwal,2019-02-23T20:20:43.040Z,"7km WNW of Guaymate, Dominican Republic",earthquake,6.2,5.8,0.068,64,reviewed,us,us
2018-12-12T22:12:19.960Z,22.4766,-64.3597,10,4.3,mb,,108,4.45,1.18,us,us2000it1p,2019-02-16T22:29:06.040Z,"North Atlantic Ocean",earthquake,11.1,1.9,0.107,25,reviewed,us,us
2018-12-11T21:46:13.820Z,18.3935,-62.4316,31.25,4.2,mwr,,153,0.699,0.87,us,us2000isl2,2019-02-16T22:29:05.040Z,"66km ENE of Stoney Ground, Anguilla",earthquake,4.5,6.8,0.051,37,reviewed,us,us
2018-12-09T23:00:38.070Z,18.7953,-66.3821,62,4.4,ml,24,239,0.3507,0.22,pr,pr2018343006,2019-02-16T19:52:35.040Z,"38km N of Brenas, Puerto Rico",earthquake,1.09,1.71,0.4,21,reviewed,pr,pr
2018-12-07T18:25:50.680Z,19.4196,-68.0036,10,4.67,md,21,217,0.9813,0.93,pr,pr2018341005,2019-02-16T19:52:30.040Z,"103km NNE of Punta Cana, Dominican Republic",earthquake,3.72,31.61,0.38,19,reviewed,pr,pr
2018-11-14T00:10:33.100Z,19.6256,-65.084,85,4.9,mb,29,224,1.653,0.76,pr,pr2018318000,2019-01-30T18:36:20.040Z,"143km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.89,14.52,0.35,22,reviewed,pr,pr
2018-11-11T18:02:51.180Z,19.7564,-70.8861,10,4.4,mb,,70,0.858,1.25,us,us1000hqlu,2019-01-21T16:42:53.040Z,"5km W of Imbert, Dominican Republic",earthquake,5.4,1.7,0.12,20,reviewed,us,us
2018-11-10T18:10:38.220Z,17.5686,-61.2245,24.3,4.3,mwr,,60,0.544,0.87,us,us1000hqcd,2019-01-21T16:42:59.040Z,"63km E of Codrington, Barbuda",earthquake,4.1,4.8,0.057,30,reviewed,us,us
2018-11-10T16:25:43.160Z,17.6213,-61.0678,10,4.5,mwr,,61,0.686,1.32,us,us1000hqas,2019-01-21T16:42:59.040Z,"79km E of Codrington, Barbuda",earthquake,5.1,1.9,0.053,34,reviewed,us,us
2018-10-26T12:49:48.260Z,23.0794,-70.4684,10,4.5,mb,,40,1.677,1.12,us,us1000hhj9,2019-01-10T17:18:38.040Z,"192km NNE of Cockburn Town, Turks and Caicos Islands",earthquake,7,1.8,0.039,192,reviewed,us,us
2018-10-17T02:05:26.000Z,20.0612,-72.9869,12.64,4.4,mb,,52,1.662,0.94,us,us1000hg1h,2018-12-21T22:27:08.040Z,"21km NW of Ti Port-de-Paix, Haiti",earthquake,4.3,4.2,0.098,30,reviewed,us,us
2018-10-08T05:04:26.610Z,20.2143,-72.9239,10,4.4,mb,,79,1.783,0.49,us,us1000h8mf,2018-12-21T21:15:46.040Z,"32km NNW of Ti Port-de-Paix, Haiti",earthquake,5.5,1.9,0.148,13,reviewed,us,us
2018-10-07T20:00:18.890Z,20.0414,-73.0143,23,5.4,mww,,27,1.655,1.13,us,us1000h8hi,2018-12-14T20:32:44.040Z,"22km WNW of Ti Port-de-Paix, Haiti",earthquake,6,1.9,0.054,33,reviewed,us,us
2018-10-07T00:11:51.220Z,20.0343,-73.0128,24,5.9,mww,,19,1.648,0.7,us,us1000h8an,2018-12-14T20:32:43.040Z,"21km WNW of Ti Port-de-Paix, Haiti",earthquake,5,1.4,0.055,32,reviewed,us,us
2018-10-04T07:57:53.680Z,17.9815,-63.9876,133,4.11,md,25,162,0.9155,0.66,pr,pr2018277006,2018-12-14T20:32:36.040Z,"79km E of Christiansted, U.S. Virgin Islands",earthquake,4.68,3.11,0.35,25,reviewed,pr,pr
2018-09-29T23:21:24.360Z,20.3118,-65.6207,10,4.4,mb,,54,2.016,0.62,us,us1000h4gs,2018-12-01T16:43:33.040Z,"209km N of Loiza, Puerto Rico",earthquake,6,1.9,0.069,61,reviewed,us,us
2018-09-27T15:14:40.540Z,17.3171,-84.071,10,4.2,mb,,102,4.473,0.73,us,us1000h39i,2018-12-01T16:42:40.040Z,"18km SW of Great Swan Island, Honduras",earthquake,5,2,0.08,44,reviewed,us,us
2018-09-26T14:18:56.630Z,17.6333,-61.6705,35,4,mb,,228,0.115,0.8,us,us2000hk6l,2018-12-01T16:45:28.040Z,"15km E of Codrington, Barbuda",earthquake,7.8,2,0.298,3,reviewed,us,us
2018-09-23T07:23:09.940Z,19.7088,-71.3233,10,4.4,mb,,46,0.723,0.97,us,us2000hixc,2018-11-27T15:52:03.040Z,"6km WNW of Villa Elisa, Dominican Republic",earthquake,5,1.9,0.076,50,reviewed,us,us
2018-09-23T05:45:50.950Z,19.6495,-71.2739,19.82,5.2,mww,,36,0.56,0.9,us,us2000hiw5,2018-11-27T15:52:03.040Z,"4km S of Villa Elisa, Dominican Republic",earthquake,4.6,3.8,0.071,19,reviewed,us,us
2018-09-03T14:35:03.710Z,18.0387,-79.6552,10,4.7,mb,,45,2.025,0.82,us,us2000h762,2018-11-14T17:40:12.040Z,"140km W of Negril, Jamaica",earthquake,6.5,1.9,0.043,166,reviewed,us,us
2018-08-25T06:04:04.950Z,19.61,-69.9258,10,4,mb,,78,1.43,0.79,us,us1000gh5w,2018-11-01T17:50:58.040Z,"4km SSW of Cabrera, Dominican Republic",earthquake,3.7,2,0.15,12,reviewed,us,us
2018-08-04T11:42:15.840Z,18.7315,-68.6561,155,4.3,md,23,287,0.3504,0.3,pr,pr2018216007,2018-10-16T15:34:11.040Z,"2km N of San Rafael del Yuma, Dominican Republic",earthquake,26.29,3.18,0.46,21,reviewed,pr,pr
